currency,currency_name,query_and_operator,operator_query,operator_and
NEBL,Neblio,"NEBL, Neblio",NEBL,Neblio
PAY,TenX,"PAY, TenX",PAY,TenX
ZEN,ZenCash,"ZEN, ZenCash",ZEN,ZenCash
GBYTE,Byteball Bytes,"GBYTE, Byteball Bytes",GBYTE,Byteball Bytes
NEXO,Nexo,"NEXO, Nexo",NEXO,Nexo
BTCD,BitcoinDark,"BTCD, BitcoinDark",BTCD,BitcoinDark
DENT,Dent,"DENT, Crypto",DENT,Crypto
QSP,Quantstamp,"QSP, Quantstamp",QSP,Quantstamp
NCASH,Nucleus Vision,"NCASH, Nucleus Vision",NCASH,Nucleus Vision
XAS,Asch,"XAS, Asch",XAS,Asch
R,Revain,"R, Revain",R,Revain
SMART,SmartCash,"SMART, SmartCash",SMART,SmartCash
ICN,Iconomi,"ICN, Iconomi",ICN,Iconomi
AGI,SingularityNET,"AGI, SingularityNET",AGI,SingularityNET
TNB,Time New Bank,"TNB, Time New Bank",TNB,Time New Bank
REQ,Request Network,"REQ, Request Network",REQ,Request Network
CND,Cindicator,"CND, Cindicator",CND,Cindicator
IHT,IHT Real Estate,"IHT, IHT Real Estate",IHT,IHT Real Estate
LYM,Lympo,"LYM, Lympo",LYM,Lympo
RUFF,Ruff,"RUFF, Bitcoin",RUFF,Bitcoin
ABT,Arcblock,"ABT, Arcblock",ABT,Arcblock
DPY,Delphy,"DPY, Delphy",DPY,Delphy
ANT,Aragon,"ANT, Aragon",ANT,Aragon
ENJ,Enjin Coin,"ENJ, Enjin Coin",ENJ,Enjin Coin
BLZ,Bluzelle,"BLZ, Bluzelle",BLZ,Bluzelle
GTC,Game.com,"GTC, Game.com",GTC,Game.com
GNO,Gnosis,"GNO, Gnosis",GNO,Gnosis
DATA,Streamr DATAcoin,"DATA, Streamr DATAcoin",DATA,Streamr DATAcoin
POA,POA Network,"POA, POA Network",POA,POA Network
SAN,Santiment Network Token,"SAN, Santiment Network Token",SAN,Santiment Network Token
MDS,MediShares,"MDS, MediShares",MDS,MediShares
PART,Particl,"PART, Bitcoin",PART,Bitcoin
SMT,SmartMesh,"SMT, SmartMesh",SMT,SmartMesh
MTL,Metal,"MTL, Metal",MTL,Metal
SRN,SIRIN LABS Token,"SRN, SIRIN LABS Token",SRN,SIRIN LABS Token
BTO,Bottos,"BTO, Bottos",BTO,Bottos
GRS,Groestlcoin,"GRS, Groestlcoin",GRS,Groestlcoin
TKY,THEKEY,"TKY, THEKEY",TKY,THEKEY
GAME,GameCredits,"GAME, GameCredits",GAME,GameCredits
VTC,Vertcoin,"VTC, Vertcoin",VTC,Vertcoin
GNX,Genaro Network,"GNX, Genaro Network",GNX,Genaro Network
STQ,Storiqa,"STQ, Storiqa",STQ,Storiqa
IGNIS,Ignis,"IGNIS, Crypto",IGNIS,Crypto
SPHTX,SophiaTX,"SPHTX, SophiaTX",SPHTX,SophiaTX
SNM,SONM,"SNM, SONM",SNM,SONM
CVT,CyberVein,"CVT, CyberVein",CVT,CyberVein
XDN,DigitalNote,"XDN, DigitalNote",XDN,DigitalNote
DTR,Dynamic Trading Rights,"DTR, Dynamic Trading Rights",DTR,Dynamic Trading Rights
POE,Po.et,"POE, Po.et",POE,Po.et
DEW,DEW,"DEW, Bitcoin",DEW,Bitcoin
PLR,Pillar,"PLR, Pillar",PLR,Pillar
RDN,Raiden Network,"RDN, Raiden Network",RDN,Raiden Network
BOS,BOScoin,"BOS, BOScoin",BOS,BOScoin
VEE,BLOCKv,"VEE, BLOCKv",VEE,BLOCKv
CS,Credits,"CS, Credits, Bitcoin",CS,Credits Bitcoin
CRPT,Crypterium,"CRPT, Crypterium",CRPT,Crypterium
NKN,NKN,"NKN, Bitcoin",NKN,Bitcoin
GVT,Genesis Vision,"GVT, Genesis Vision",GVT,Genesis Vision
NAV,NavCoin,"NAV, NavCoin",NAV,NavCoin
ITC,IoT Chain,"ITC, IoT Chain",ITC,IoT Chain
AMB,Ambrosus,"AMB, Ambrosus",AMB,Ambrosus
DTA,DATA,"DTA, Crypto",DTA,Crypto
UBQ,Ubiq,"UBQ, Ubiq",UBQ,Ubiq
TRAC,OriginTrail,"TRAC, OriginTrail",TRAC,OriginTrail
C20,CRYPTO20,"C20, CRYPTO20",C20,CRYPTO20
TPAY,TokenPay,"TPAY, TokenPay",TPAY,TokenPay
INK,Ink,"INK, Bitcoin",INK,Bitcoin
CPX,Apex,"CPX, Apex",CPX,Apex
MTC,Docademic,"MTC, Docademic",MTC,Docademic
JNT,Jibrel Network,"JNT, Jibrel Network",JNT,Jibrel Network
EXC,Eximchain,"EXC, Eximchain",EXC,Eximchain
BCO,BridgeCoin,"BCO, BridgeCoin",BCO,BridgeCoin
BURST,Burst,"BURST, Bitcoin",BURST,Bitcoin
REN,Republic Protocol,"REN, Republic Protocol",REN,Republic Protocol
AUTO,Cube,"AUTO, Crypto",AUTO,Crypto
IOTX,IoTeX,"IOTX, IoTeX",IOTX,IoTeX
BTX,Bitcore,"BTX, Bitcore",BTX,Bitcore
ZCL,ZClassic,"ZCL, ZClassic",ZCL,ZClassic
EKT,EDUCare,"EKT, EDUCare",EKT,EDUCare
BRD,Bread,"BRD, Bread",BRD,Bread
XPM,Primecoin,"XPM, Primecoin",XPM,Primecoin
LEND,ETHLend,"LEND, ETHLend",LEND,ETHLend
PPC,Peercoin,"PPC, Peercoin",PPC,Peercoin
TEN,Tokenomy,"TEN, Tokenomy",TEN,Tokenomy
XSN,Stakenet,"XSN, Stakenet",XSN,Stakenet
TIO,Trade Token,"TIO, Trade Token",TIO,Trade Token
TEL,Telcoin,"TEL, Telcoin",TEL,Telcoin
ECA,Electra,"ECA, Electra",ECA,Electra
OST,OST,"OST, Bitcoin",OST,Bitcoin
RPX,Red Pulse,"RPX, Red Pulse",RPX,Red Pulse
TUSD,TrueUSD,"TUSD, TrueUSD",TUSD,TrueUSD
DAX,DAEX,"DAX, DAEX",DAX,DAEX
EDG,Edgeless,"EDG, Edgeless",EDG,Edgeless
DAI,Dai,"DAI, Bitcoin",DAI,Bitcoin
EDO,Eidoo,"EDO, Eidoo",EDO,Eidoo
TOMO,TomoChain,"TOMO, TomoChain",TOMO,TomoChain
ADX,AdEx,"ADX, AdEx",ADX,AdEx
WGR,Wagerr,"WGR, Wagerr",WGR,Wagerr
EMC2,Einsteinium,"EMC2, Einsteinium",EMC2,Einsteinium
SWM,Swarm,"SWM, Swarm",SWM,Swarm
RKT,Rock,"RKT, Rock",RKT,Rock
RCN,Ripio Credit Network,"RCN, Ripio Credit Network",RCN,Ripio Credit Network
BAX,BABB,"BAX, BABB",BAX,BABB
QRL,Quantum Resistant Ledger,"QRL, Quantum Resistant Ledger",QRL,Quantum Resistant Ledger
PPP,PayPie,"PPP, PayPie",PPP,PayPie
SLS,SaluS,"SLS, SaluS",SLS,SaluS
SAFEX,Safe Exchange coin,"SAFEX, Safe Exchange coin",SAFEX,Safe Exchange coin
VIA,Viacoin,"VIA, Viacoin",VIA,Viacoin
HOT,Hydro Protocol,"HOT, Hydro Protocol",HOT,Hydro Protocol
RNTB,BitRent,"RNTB, BitRent",RNTB,BitRent
TKN,TokenCard,"TKN, TokenCard",TKN,TokenCard
AST,AirSwap,"AST, AirSwap",AST,AirSwap
CLOAK,CloakCoin,"CLOAK, CloakCoin",CLOAK,CloakCoin
BAY,BitBay,"BAY, BitBay",BAY,BitBay
SWFTC,SwftCoin,"SWFTC, SwftCoin",SWFTC,SwftCoin
BITCNY,bitCNY,"BITCNY, bitCNY",BITCNY,bitCNY
PRL,Oyster,"PRL, Oyster",PRL,Oyster
LET,LinkEye,"LET, LinkEye",LET,LinkEye
SNGLS,SingularDTV,"SNGLS, SingularDTV",SNGLS,SingularDTV
SPANK,SpankChain,"SPANK, SpankChain",SPANK,SpankChain
ZCO,Zebi,"ZCO, Zebi",ZCO,Zebi
FXT,FuzeX,"FXT, FuzeX",FXT,FuzeX
WINGS,Wings,"WINGS, Bitcoin",WINGS,Bitcoin
XCP,Counterparty,"XCP, Counterparty",XCP,Counterparty
